"ID","simulationID","simtime","Mean_CH","Mean_GF","GFR1","GFR2","GFR3","GFR4","CHR1","CHR2","CHR3","CHR4","Mean_Density","stem_ln","GF_layer1","GF_layer2","GF_layer3","GF_layer4","GF_layer5","GF_layer6"
"1_140",1,140,44.180491695472,0.690157348510211,48,207,316,473,1040,882,533,69,127.655172413793,24,0.752228853521957,0.749488043334654,0.783281866529422,0.761650825228411,0.751241663119058,0.880721919741883
"10_140",10,140,44.1242982284101,0.664207221350078,56,221,300,403,978,870,416,53,135.324489795918,25.4,0.727568613652357,0.753322448979592,0.776290516206483,0.73922785609089,0.754554043839758,0.949814471243043
"11_140",11,140,40.2374560042495,0.685328605244158,52,212,298,453,1010,847,406,44,169.607881773399,6.7,0.726681340180973,0.746918798665184,0.767579761521109,0.784878717964707,0.738036252331532,0.958272964358157
"12_140",12,140,38.8117751953692,0.744062781993816,5,143,344,523,1012,854,307,38,170.454187192118,5.4,0.714238151860031,0.788473391734815,0.80336260441208,0.74624116513172,0.712706985577779,0.938587848932677
"13_140",13,140,42.9719744454722,0.671919666743102,45,207,316,412,976,858,464,40,175.194897959184,7.7,0.713439153439153,0.71552956949203,0.775461613216715,0.736329646362362,0.761335403726708,0.919241982507289
"14_140",14,140,42.5405298271247,0.727462847207849,10,151,358,496,1015,864,506,52,162.15960591133,9.1,0.717818657635468,0.759352949008121,0.783353858784893,0.757605612778027,0.777346791139895,0.945894909688013
"15_140",15,140,43.9927918899469,0.675479453496695,45,232,287,444,1007,863,453,53,122.344246031746,45.7,0.760322822822823,0.762646491618454,0.747040072859745,0.778192824748947,0.81128003003003,0.925
"16_140",16,140,44.9111678809905,0.694810405643739,33,208,314,453,1006,867,596,77,137.335317460317,19.5,0.738199168556311,0.747082166199813,0.778182986809747,0.726841831008498,0.770548787990648,0.87274531024531
"17_140",17,140,42.728084673534,0.654152167779554,54,261,256,409,979,851,452,46,150.097959183673,14.4,0.733520809898763,0.711468690040119,0.747842565597668,0.763510204081633,0.744119226638024,0.946501457725948
"18_140",18,140,44.4322688260334,0.706828985230759,25,205,327,487,1040,887,552,60,141.308429118774,14,0.736616894045189,0.765453384418902,0.773512132822478,0.782883878573534,0.801528657439987,0.915349616858238
"19_140",19,140,42.8479980101664,0.721864871603092,18,162,352,483,1011,860,502,58,159.371428571429,10.5,0.73325311172113,0.723825543674156,0.802224366461835,0.739950738916256,0.783244663382594,0.894795459413151
"2_140",2,140,45.452322656772,0.712347171214727,11,171,353,445,980,862,507,51,126.279591836735,48.7,0.734961363186051,0.792654680919987,0.779189422247772,0.753621888315766,0.750132275132275,0.859369202226345
"20_140",20,140,44.1435405079947,0.684732238760166,38,199,322,421,979,854,515,51,125.791836734694,42.7,0.719051125604881,0.738855542216887,0.793605442176871,0.783838678328474,0.769470715115314,0.957414965986395
"21_140",21,140,45.7587031646126,0.712187237908862,13,169,334,464,979,864,502,39,168.082653061224,9,0.741575700047461,0.730477190876351,0.730522959183673,0.767928004535147,0.766367346938776,0.872826908541194
"22_140",22,140,44.5691200414243,0.744215613074498,5,99,384,492,976,843,391,37,125.845918367347,45.9,0.712620837808808,0.776635269492412,0.772857142857143,0.783782445016842,0.81015037593985,0.945447409733124
"23_140",23,140,42.0117171450809,0.707474014189078,37,191,309,507,1043,867,360,54,122.275862068966,34.9,0.735794677066229,0.79098410112529,0.766997561825148,0.803436208404984,0.792763845350052,0.957922824302135
"24_140",24,140,44.0189557571506,0.690778719350148,32,207,314,427,979,843,436,43,125.85306122449,41.1,0.692960330199496,0.764625850340136,0.802577873254565,0.776932888540031,0.776271460965339,0.935714285714286
"25_140",25,140,45.2231958539243,0.724729405932413,8,142,384,446,977,860,468,55,135.983673469388,23.4,0.735871271585557,0.767308577566365,0.769479134937557,0.773049219687875,0.75922619047619,0.923418367346939
"26_140",26,140,45.1838576812879,0.699171983829331,24,181,336,439,979,858,440,46,126.04693877551,47,0.720647646813828,0.750225667189953,0.82443246961706,0.752085669432608,0.768208430913349,0.918265306122449
"27_140",27,140,43.446014960347,0.729700277323473,12,137,363,468,976,855,476,41,155.152040816327,13.3,0.752547349875202,0.817990832696715,0.782316926770708,0.758887425938117,0.749807166961273,0.927278911564626
"28_140",28,140,42.3157498242033,0.702835758449166,24,175,343,438,978,834,393,39,130.455102040816,37.1,0.731205302633874,0.751728258871116,0.798894557823129,0.742949907235621,0.761787144764448,0.950156985871272
"29_140",29,140,43.111492835117,0.696592311343142,23,195,325,437,977,843,384,47,130.465306122449,37.3,0.74390243902439,0.721706864564007,0.802771649200221,0.760174927113703,0.768771833057547,0.936938775510204
"3_140",3,140,45.8543048792015,0.671426175032751,35,207,319,391,950,869,446,36,172.829831932773,9.2,0.726659812861315,0.70273936346192,0.72304807999149,0.721612825458052,0.753856542617047,0.932964094728801
"30_140",30,140,42.8454211615365,0.704085649715161,26,218,300,471,1010,871,472,56,139.967487684729,17.5,0.737238936611977,0.751724137931034,0.778506611355976,0.785469919708312,0.768349753694581,0.963115763546798
"31_140",31,140,44.6339366080946,0.709905721296655,23,175,361,456,1015,862,507,56,154.910344827586,10.9,0.754499960903902,0.734682881773399,0.781724679261625,0.758903272616184,0.759042927515834,0.922495894909688
"32_140",32,140,42.0624123556425,0.660688468158348,55,230,285,410,979,849,453,43,140.814285714286,20.8,0.713310456926133,0.727758714105111,0.754545454545455,0.749120014978468,0.757661857846587,0.949234693877551
"33_140",33,140,42.8283516644629,0.73472561652966,10,141,354,503,1007,874,434,43,170.571428571429,7.4,0.738081554460865,0.750837456194599,0.779931972789116,0.775570272259014,0.737078164599173,0.936590608465608
"34_140",34,140,42.9609898042621,0.702650265215624,39,197,310,469,1012,845,480,39,154.91921182266,11.1,0.773507678933642,0.761555540137376,0.774070756829378,0.824401030004478,0.766084275436793,0.895361247947455
"35_140",35,140,42.5031225693905,0.701256926611704,21,183,340,436,978,838,424,47,135.330612244898,27.5,0.732566585956416,0.737746380603523,0.794075540664027,0.789214032720526,0.737379668848672,0.946683673469388
"36_140",36,140,44.2829247277541,0.649641626087432,69,239,273,399,977,871,487,56,130.683673469388,39.3,0.726264418811003,0.740495626822157,0.787385388938184,0.768347723704867,0.74624260919321,0.959723889555822
"37_140",37,140,43.1605365350454,0.720979359944088,14,179,327,495,1014,844,464,41,121.932019704434,48.1,0.703105108761831,0.771374339042798,0.76701000149276,0.765549368173056,0.759650290684773,0.895320197044335
"38_140",38,140,44.4324160131314,0.694361177724487,27,207,316,458,1007,856,407,45,127.451388888889,31.6,0.737338912462675,0.776633089133089,0.76459478021978,0.737453904120571,0.769680165513499,0.892906746031746
"39_140",39,140,42.3160266899184,0.711390894305138,27,173,347,468,1014,855,485,48,121.504433497537,40.3,0.736472906403941,0.774825887548836,0.789350912778905,0.794177428660187,0.773682892210069,0.951117847669572
"4_140",4,140,42.8251175376116,0.648664143076585,65,243,271,401,977,852,420,42,130.69693877551,38.2,0.726530612244898,0.745880574452003,0.749659863945578,0.739001074113856,0.727051228654727,0.956049562682216
"40_140",40,140,42.6229500937553,0.699285714285714,27,181,332,440,980,853,409,40,135.321428571429,25.2,0.727586206896552,0.736603872318158,0.757515387107224,0.765995842781557,0.773029556650246,0.948116169544741
"41_140",41,140,43.5925994709967,0.694933028266362,12,198,314,421,942,829,376,41,135.449735449735,39.4,0.714081500046412,0.743604679384496,0.74996964177292,0.773304473304473,0.735123374375711,0.96047619047619
"42_140",42,140,43.4112464090545,0.680471018816883,43,221,303,441,1006,853,490,47,127.492063492063,30.8,0.710910541752933,0.741054023948761,0.774103468547913,0.752747252747253,0.774954832881662,0.935664682539682
"43_140",43,140,42.7185596949332,0.714476614699332,32,212,304,532,1080,880,455,53,128.2,19.4,0.759302526825891,0.755233494363929,0.811134552273793,0.788549382716049,0.810815329218107,0.914043209876543
"44_140",44,140,44.7666643578522,0.715401785714286,16,167,340,485,1007,869,458,57,127.5,30,0.736160223165174,0.77177995880286,0.805155529953917,0.755857898715042,0.792901234567901,0.944444444444444
"45_140",45,140,42.1676799513786,0.691222570532915,39,204,334,467,1039,872,432,54,122.275862068966,35.6,0.747429348004061,0.756421172129984,0.8194843550447,0.770455115121567,0.788314176245211,0.953224776500639
"46_140",46,140,43.6078245935472,0.728469395591736,4,178,333,500,1014,860,528,66,121.91724137931,47.3,0.706754241926656,0.761632653061225,0.760283251231527,0.770191803794152,0.764043692439495,0.925198938992042
"47_140",47,140,42.4825784138578,0.678536544112983,55,242,251,467,1014,859,454,48,149.80197044335,12.6,0.741515725653657,0.751783399385162,0.777938071780436,0.73189199051268,0.785965907077294,0.946387520525452
"48_140",48,140,46.0627976247707,0.716653255756375,16,178,348,466,1007,881,479,54,163.491071428571,8.8,0.758487654320988,0.743643707482993,0.764513108614232,0.783309681488489,0.744002864303616,0.88301917989418
"49_140",49,140,45.8904064082446,0.67055775189657,38,214,331,397,980,867,476,64,125.84693877551,44,0.706023699802502,0.771365914786967,0.756951530612245,0.737944945420028,0.785268329554044,0.95108843537415
"5_140",5,140,44.2982542774926,0.666443205189052,53,224,281,422,978,866,513,50,172.115306122449,8.6,0.702683593122288,0.758613050483351,0.752335600907029,0.738942920918367,0.763835327234342,0.894619666048238
"50_140",50,140,45.2121032755237,0.71685987569974,13,157,359,451,977,848,398,23,131.09387755102,32.3,0.7622892635315,0.752615331847025,0.774362244897959,0.780836236933798,0.742118561710398,0.884065934065934
"6_140",6,140,44.5021054791501,0.700466141198407,18,168,340,419,943,821,471,40,130.896296296296,48.8,0.70515873015873,0.786881666246746,0.765865457294029,0.77981355505165,0.75367839889579,0.894836708629812
"7_140",7,140,43.3348767124929,0.688269493844049,27,191,323,411,950,837,385,39,134.044117647059,35.6,0.723380377792142,0.732823685029567,0.790527404991847,0.787732415800966,0.762760659819483,0.943802521008403
"8_140",8,140,42.9277166401907,0.715116707333917,18,191,321,485,1012,844,469,51,121.930049261084,48.1,0.724343185550082,0.756554593715625,0.766293476638304,0.745523036800927,0.766267056105323,0.906695858419996
"9_140",9,140,43.7504900836837,0.71688037056928,8,168,356,448,976,859,463,40,172.136734693878,8.4,0.710570182271382,0.765144665461121,0.738705936920223,0.780700094607379,0.784976254652805,0.908035714285714
