"ID","simulationID","simtime","Mean_CH","Mean_GF","GFR1","GFR2","GFR3","GFR4","CHR1","CHR2","CHR3","CHR4","Mean_Density","seed_true_maxTi","GF_layer1","GF_layer2","GF_layer3","GF_layer4","GF_layer5","GF_layer6"
"1_140",1,140,44.5929613664484,0.690708028494417,31,202,300,447,979,845,463,49,131.139795918367,5.9,0.715423044217687,0.75261685319289,0.770055658627087,0.793132491091675,0.774727100142383,0.928877551020408
"10_140",10,140,44.3039956447811,0.72814039408867,12,173,352,507,1042,899,559,62,182.689655172414,8.8,0.729116075764934,0.757208538587849,0.786667133912718,0.765215852795471,0.76771480160303,0.89768373389063
"100_140",100,140,45.288845720425,0.705477400126627,21,186,351,457,1014,897,581,65,187.905418719212,8.2,0.729516161684324,0.780330222541278,0.7910528124642,0.760079815426825,0.782999794745484,0.922519352568614
"11_140",11,140,44.0741744011454,0.665270239964117,48,221,305,406,971,853,527,47,152.302040816327,6.1,0.719969566774078,0.729069948590123,0.850170068027211,0.746062925170068,0.740691696525939,0.937959183673469
"12_140",12,140,44.4632591818858,0.703521255245393,26,159,311,449,941,807,388,53,68.7830687830688,2,0.747222222222222,0.771972789115646,0.794444444444444,0.798926462694579,0.764346764346764,0.968061568061568
"13_140",13,140,45.1232093361921,0.658176943699732,69,251,253,435,1007,881,562,81,127.5,5.4,0.71697695035461,0.761436507936508,0.759200902583256,0.748526638378123,0.743704906204906,0.94459706959707
"14_140",14,140,44.4372896455899,0.704406300839819,16,183,347,462,1006,876,562,74,106.709325396825,4.2,0.719484629294756,0.759004884004884,0.794027777777778,0.765971132042561,0.800813828356201,0.949487433862434
"15_140",15,140,45.8464180829267,0.663088631679087,37,226,311,378,947,856,497,37,178.563025210084,7.2,0.705311652219943,0.728167737683309,0.755885442412259,0.709702832746002,0.702597830176847,0.916791716686675
"16_140",16,140,44.2745473876087,0.697873679792964,35,188,330,433,982,846,441,48,87.6166328600406,3.7,0.764271225731672,0.773184128358821,0.773620155866339,0.788215743297735,0.788076549960314,0.967748478701826
"17_140",17,140,46.2967405354981,0.68748601504052,24,222,300,426,970,867,499,59,132.19341563786,5.8,0.703936014867914,0.738203599079305,0.783418475947212,0.731229528848577,0.768712938660445,0.94348912404468
"18_140",18,140,44.4229569822199,0.74274363805589,7,133,368,507,1009,875,552,60,167.473891625616,7.9,0.735567983999407,0.756323891625616,0.765845648604269,0.737610264635124,0.81699990340964,0.937516204303863
"19_140",19,140,42.4184649038172,0.707812640474692,25,184,317,454,971,800,429,51,66.3265306122449,2,0.782701652089407,0.768291197075845,0.805835459183673,0.760623177842566,0.76298551678736,0.956689342403628
"2_140",2,140,45.8843977300152,0.725879484500174,14,179,340,511,1044,916,547,75,162.827586206897,7,0.735736137099409,0.758887433920171,0.765891675374434,0.755339680905816,0.787112607404385,0.938397988505747
"20_140",20,140,41.1518379446362,0.730247128437174,34,138,273,507,949,734,378,75,45.5882352941176,1.2,0.830137509549274,0.819790628115653,0.859208683473389,0.841875543320777,0.830234593837535,0.968224789915966
"21_140",21,140,41.4534144504521,0.758206627680312,14,106,292,533,938,725,370,68,45.9407407407407,1,0.803681657848324,0.78914825189335,0.847014361300076,0.860910694244028,0.859447706023048,0.962962962962963
"22_140",22,140,44.7073502779797,0.677109964865067,33,239,281,427,980,845,453,51,88.1489795918367,3.1,0.766967556253271,0.774422516259251,0.762981859410431,0.742421968787515,0.739728786251343,0.962615955473098
"23_140",23,140,43.9305408038821,0.734370401857241,7,132,341,472,948,801,424,60,68.2668067226891,2.2,0.776427237561691,0.776837495561605,0.862788865546218,0.785681460084034,0.805591467356173,0.965336134453782
"24_140",24,140,45.9066292680114,0.698721349004718,12,175,348,417,950,855,429,48,90.6848739495798,3.2,0.724604547701434,0.729907347554406,0.796433346065699,0.769984576108925,0.749816176470588,0.950396825396825
"25_140",25,140,45.2240865129605,0.705921781481456,23,175,358,459,1012,892,510,55,207.913300492611,9.2,0.723921058338755,0.752669146476325,0.767244277021153,0.736896241906001,0.729697807737735,0.936343732895457
"26_140",26,140,44.7839368307019,0.656293767507003,59,213,292,388,949,828,423,37,90.7384453781513,3.8,0.762884267631103,0.752161911276138,0.775071870853605,0.767735940530058,0.764754739104944,0.960488041370394
"27_140",27,140,43.6425411650163,0.698071029020544,26,214,311,464,1012,857,514,50,147.039408866995,6,0.727791098129823,0.79318060419016,0.789864158829676,0.767208409293666,0.807462033987233,0.925881015536188
"28_140",28,140,43.9926472484871,0.68999192897498,36,190,323,431,973,843,467,49,109.742857142857,4.8,0.73483626008543,0.782722241438948,0.800288794763188,0.764450296247531,0.784946722051653,0.948384353741497
"29_140",29,140,40.2123378736432,0.779690861851987,12,81,276,583,945,721,359,53,45.6039915966387,1.2,0.791363211951447,0.804927425515661,0.860734616427216,0.855692276910764,0.834774073563852,0.967436974789916
"3_140",3,140,41.9650414390985,0.747933019361591,17,121,275,532,939,741,423,76,45.8761904761905,1.1,0.774502393550013,0.780930785012418,0.850453514739229,0.816910052910053,0.822404670680533,0.970793650793651
"30_140",30,140,41.2573727540116,0.743295019157088,31,130,261,550,968,743,406,82,44.6666666666667,1.8,0.786702076753756,0.796881303961914,0.880744170096022,0.833104709647919,0.817253467459229,0.973479652491998
"31_140",31,140,43.9110140020714,0.676391239422598,58,194,302,426,976,826,446,67,66.3397959183673,2.2,0.776296420207427,0.761036106750392,0.838644688644689,0.788079041140266,0.801668505239934,0.961428571428571
"32_140",32,140,43.7364407076443,0.731565436847756,17,160,347,520,1044,883,508,57,202.13122605364,9,0.740047659097281,0.762081480197924,0.800594877999597,0.757959313993797,0.747449309053339,0.910035366931919
"33_140",33,140,43.616299979316,0.749649595687332,11,106,333,530,977,828,426,59,66.3428571428571,2.1,0.768920788654445,0.809624590576972,0.831740064446831,0.808577343981071,0.802163265306122,0.972448979591837
"34_140",34,140,44.7464696658153,0.710298468796444,18,215,314,497,1042,907,552,73,162.812260536398,7.5,0.730865538359429,0.790329880847122,0.772402356035912,0.751221081571174,0.737644367264809,0.932151979565773
"35_140",35,140,43.0465012429572,0.720505877619374,10,179,326,500,1010,850,489,54,126.610837438424,5,0.727032654512214,0.758901037286235,0.769173929518757,0.792917709763385,0.739354132457581,0.944663382594417
"36_140",36,140,42.7973825795177,0.710042964554243,22,171,326,461,977,829,530,52,88.1469387755102,3.2,0.743158953722334,0.750609756097561,0.831299058084772,0.751394078758264,0.768719630709427,0.950907029478458
"37_140",37,140,44.6177804882122,0.677166866746699,46,218,297,419,978,847,426,49,109.763265306122,4.7,0.728413508260447,0.765540161018536,0.759624304267161,0.775832986255727,0.758809860577895,0.955830903790088
"38_140",38,140,43.8502548979111,0.67873708154082,44,204,272,425,944,795,450,51,68.7502645502645,2.2,0.771070148489503,0.745880574452003,0.813962375073486,0.781943394641807,0.794380094380094,0.956143445032334
"39_140",39,140,44.6204718305753,0.668831168831169,51,255,271,431,1004,869,499,56,127.5,5,0.73375,0.759752624167947,0.776713564213564,0.740534904437966,0.736055481382584,0.952380952380952
"4_140",4,140,44.294130577903,0.739272612933655,7,130,367,511,1012,870,462,56,147.050246305419,6.2,0.734576184813997,0.759213200592511,0.793985736342916,0.77124527437278,0.776395168364937,0.931413414172035
"40_140",40,140,43.8584561511632,0.7209726443769,7,165,356,452,973,850,448,32,131.142857142857,5.7,0.755821793002915,0.739052231061916,0.753122448979592,0.751078717201166,0.806581970536559,0.942261904761905
"41_140",41,140,44.034835123475,0.707240396895569,34,199,321,490,1044,888,517,64,182.681992337165,8.6,0.737259224269144,0.780398229210093,0.76247871434653,0.742451035554484,0.791678822179435,0.930842911877395
"42_140",42,140,46.3272385180825,0.718014044327408,11,162,338,469,977,871,521,71,131.123469387755,5.8,0.744907495708564,0.766887365633276,0.764928193499622,0.760391312488298,0.76367181018749,0.93843537414966
"43_140",43,140,42.4222005415045,0.72926697209496,19,144,327,490,976,808,479,63,66.3295918367347,2,0.77936142198815,0.780393586005831,0.812274909963986,0.806359065365277,0.846162840136054,0.965102040816327
"44_140",44,140,43.1091046239545,0.673480725623583,48,208,308,416,976,834,479,43,88.1602040816327,3.5,0.817714285714286,0.775820763087844,0.764597505668934,0.758456807380486,0.798337891857774,0.952959183673469
"45_140",45,140,42.9482323445606,0.705473054055528,25,209,306,468,1004,842,453,45,85.7073412698413,3.8,0.739933473389356,0.773516414141414,0.819767943409248,0.755286281179138,0.801235945767196,0.951884920634921
"46_140",46,140,38.0389708077457,0.791925465838509,11,72,300,625,1002,715,370,50,43.0714285714286,1.1,0.788973922902494,0.811058700209644,0.880602240896359,0.842550505050505,0.858295401493931,0.982864357864358
"47_140",47,140,45.5014527859272,0.679426423200859,28,218,341,393,979,869,475,44,152.272448979592,6.6,0.712621805478948,0.744428130964616,0.775039246467818,0.766957470010905,0.75186824729892,0.947142857142857
"48_140",48,140,45.4383395039198,0.648448870164688,71,242,271,396,977,864,542,55,131.128571428571,5.8,0.715454931972789,0.756261224489796,0.782527747941282,0.758762404044186,0.73595547309833,0.93687074829932
"49_140",49,140,38.6348079100759,0.807640144665461,2,49,267,634,950,687,375,53,45.5892857142857,1.6,0.765546218487395,0.808422459893048,0.879996593231887,0.892585269401878,0.881623826000989,0.967086834733894
"5_140",5,140,46.0854939575577,0.702617602805927,15,163,352,415,945,850,455,43,157.910052910053,6,0.702588302588303,0.757017543859649,0.827296777296777,0.781616493340631,0.773053912923194,0.925437525437525
"50_140",50,140,45.660399119304,0.670793546776509,37,235,305,403,978,883,511,44,215.301020408163,9.6,0.719394053917863,0.784170591313448,0.75098261526833,0.758985260770975,0.723445794502772,0.918075801749271
"51_140",51,140,41.4024087966622,0.718746757962444,34,146,257,481,910,709,371,56,47.2505446623094,1.2,0.801231603752612,0.81885067323833,0.88562091503268,0.834250659328059,0.834235430283224,0.973638344226579
"52_140",52,140,46.3774626712171,0.660695389266818,43,240,272,390,943,858,487,45,223.262433862434,9.7,0.685587301587302,0.733187560738581,0.759259259259259,0.707215007215007,0.71432241490045,0.913462669018225
"53_140",53,140,45.9984411535855,0.683050632533715,34,226,312,436,1008,899,509,63,168.617063492063,7.5,0.694880610290093,0.73017925561029,0.760453683961147,0.75135413045997,0.779010519395135,0.923185941043084
"54_140",54,140,46.2578463770056,0.698737916219119,17,185,349,429,977,891,598,63,194.615306122449,8.8,0.711792181661397,0.734300035803795,0.770873159390338,0.72574568288854,0.730839002267574,0.932844387755102
"55_140",55,140,45.3701701131095,0.698421571968084,24,201,328,455,1005,885,457,43,168.582341269841,7.4,0.729795225978432,0.755268411712511,0.78159654272668,0.752773432974163,0.728045203588682,0.941468253968254
"56_140",56,140,44.1475046041122,0.683714638593189,44,186,328,422,976,854,454,33,109.751020408163,4.4,0.762276785714286,0.745807233784603,0.782015306122449,0.767325227963526,0.786197636949517,0.950947521865889
"57_140",57,140,46.8887461540616,0.669231010376501,37,228,310,405,979,890,502,49,215.330612244898,9.4,0.716345663265306,0.743408996251562,0.734747583243824,0.70551853394419,0.708373531230674,0.906043956043956
"58_140",58,140,39.7979984474602,0.760294117647059,9,106,294,543,945,706,396,60,45.5441176470588,1.8,0.781243892906,0.805309396485867,0.855812324929972,0.822252430383918,0.842305672268908,0.971901260504202
"59_140",59,140,45.4936271845611,0.697867298578199,26,202,323,457,1005,880,526,66,127.5,5.1,0.7374371365708,0.730176767676768,0.846440972222222,0.764237948265726,0.743290043290043,0.947137188208617
"6_140",6,140,45.5024434110262,0.676092652761765,51,227,300,437,1012,895,566,64,167.460098522167,7.5,0.721166627570568,0.752414420633178,0.771878958479944,0.789107142857143,0.77841308937368,0.948353642727508
"60_140",60,140,44.5718605433528,0.688595976990437,38,207,305,430,979,844,427,40,173.452040816327,7.2,0.701915356306457,0.745161083301245,0.784163265306122,0.764175399889686,0.797473020621861,0.920643642072213
"61_140",61,140,40.631622402437,0.739177489177489,34,109,288,514,940,704,403,80,45.9047619047619,1.2,0.798243836541709,0.832010582010582,0.8664101330768,0.823524623524624,0.863921063921064,0.969547325102881
"62_140",62,140,44.6141729081806,0.667837645015199,55,202,311,404,972,847,553,64,132.200617283951,5.6,0.745265584514556,0.782508839042485,0.775702115370731,0.744026928762635,0.755463913960646,0.925271230826786
"63_140",63,140,44.6632016473672,0.683993115318417,34,213,302,431,973,844,442,43,131.142857142857,5.4,0.749372776633589,0.774662364945978,0.786060186786579,0.79384541218062,0.77798273155416,0.934615384615385
"64_140",64,140,44.36421066988,0.724150702426565,21,166,353,504,1043,887,494,65,82.7547892720306,3.9,0.777528984425536,0.772188415596124,0.799281609195402,0.79367816091954,0.800162418790605,0.95679012345679
"65_140",65,140,44.7590947874189,0.719296763291304,19,151,348,462,978,839,472,68,88.1408163265306,3.7,0.747137188208617,0.778977397410577,0.797813411078717,0.764571428571429,0.782392290249433,0.953367346938776
"66_140",66,140,37.8655253505134,0.778678571428571,7,99,286,588,972,685,336,36,44.2642857142857,1.9,0.793251391465677,0.841098901098901,0.85594651653765,0.870018007202881,0.848084772370487,0.975816326530612
"67_140",67,140,44.3085819707691,0.725215517241379,23,168,325,528,1041,886,518,76,123.103448275862,5.2,0.735375439428052,0.776522914253468,0.812473392933163,0.781087506841817,0.788314176245211,0.948036398467433
"68_140",68,140,45.23499798373,0.677376918477178,46,223,312,434,1015,888,611,72,167.441379310345,7.4,0.739631454114213,0.747490862863499,0.79197562872699,0.758817733990148,0.727303680092727,0.930401125967628
"69_140",69,140,44.2962096369483,0.700679079346525,26,196,324,469,1011,872,502,56,105.95960591133,4.5,0.727969348659004,0.74670755001508,0.789593596059113,0.781362043573206,0.76790713554114,0.937931034482759
"7_140",7,140,45.4750021846931,0.665708976136397,52,255,289,419,1014,887,557,70,167.479802955665,7,0.711766130986029,0.729709529471717,0.745893563756763,0.706335403726708,0.729663739558792,0.938626485076789
"70_140",70,140,45.2974910429018,0.686285518992286,27,210,323,420,979,870,534,53,131.132653061224,5.3,0.706605222734255,0.729844681235326,0.754881952781112,0.770825199645075,0.739841882699026,0.925425170068027
"71_140",71,140,42.1998847135542,0.724795162913975,20,176,333,507,1030,849,472,56,83.3870656370656,3.5,0.778239778239778,0.782113574248406,0.786908148750254,0.790842181467181,0.785972434228248,0.96035046035046
"72_140",72,140,43.6300442473627,0.695295590784956,32,183,348,423,984,844,519,51,109.084178498986,4.3,0.739700636497167,0.75353994382899,0.824909387157916,0.755862980604873,0.768713917927914,0.941937119675456
"73_140",73,140,45.0552186207548,0.710524558111858,28,184,335,497,1043,907,535,61,182.659003831418,8,0.728886730343748,0.744763346869479,0.842903475163003,0.757568310143174,0.826390971181076,0.914750957854406
"74_140",74,140,43.3191870540239,0.673457430459505,88,231,277,484,1080,902,472,51,157.393518518519,7.4,0.743805627332759,0.751726726726727,0.781726579520697,0.714139139139139,0.774778972520908,0.926923076923077
"75_140",75,140,44.8270417532939,0.668045112781955,62,237,274,435,1002,877,586,73,189.214285714286,8.7,0.705687830687831,0.746214194490057,0.808649086874893,0.777325257588415,0.765404541446208,0.922548185941043
"76_140",76,140,44.1969604714718,0.749622561748898,4,127,379,534,1044,886,476,57,142.965517241379,6.9,0.746501396194558,0.73913433908046,0.795860907929873,0.822273387115966,0.80508544296359,0.937484035759898
"77_140",77,140,44.92278604214,0.681006802721088,34,211,328,407,979,858,545,54,215.320408163265,9.2,0.712251356238698,0.761970542934155,0.772173813345563,0.728545918367347,0.752582908163265,0.90843537414966
"78_140",78,140,44.4718599289107,0.701915403032721,25,217,286,480,1006,865,455,67,106.714285714286,4.4,0.733613023522662,0.764871593291405,0.785528273809524,0.792230781201369,0.773233182161754,0.95734126984127
"79_140",79,140,44.3355630028621,0.721573097748646,24,166,346,508,1040,895,528,63,202.137931034483,9.3,0.721652517967596,0.765799855847654,0.822635800479822,0.773435504469987,0.822013926898984,0.928041187739464
"8_140",8,140,45.826266017524,0.679408880003018,29,230,302,419,979,879,582,60,173.439795918367,7.2,0.715353954081633,0.731592107041492,0.777215543751747,0.737655362897038,0.773940804391932,0.918707482993197
"80_140",80,140,44.0648785314184,0.706256692491812,23,198,319,468,1006,876,495,53,148.046626984127,6.6,0.763608687749909,0.741256515043829,0.835971055088702,0.764069979843789,0.762537382102599,0.916847041847042
"81_140",81,140,43.6847259714706,0.703342526199669,18,199,316,447,975,836,486,54,109.763265306122,4.4,0.728158406219631,0.752855180533752,0.829377880184332,0.793887177512514,0.775772327279536,0.961067503924647
"82_140",82,140,44.1432692093333,0.700173538803276,25,176,339,440,974,840,506,63,88.1489795918367,3.3,0.740189504373178,0.781100738167608,0.79757045675413,0.776853526220615,0.778559833024119,0.948794063079777
"83_140",83,140,42.1926486717139,0.756418031129978,11,86,309,512,916,718,377,71,47.2549019607843,1.3,0.783781166787703,0.803863211951447,0.849748328450154,0.85042211328976,0.818383292014124,0.972657952069717
"84_140",84,140,44.9155272385803,0.680057022809124,39,221,292,428,979,856,437,47,152.292857142857,6.8,0.711776061776062,0.744163852591396,0.777327806122449,0.747242368021589,0.757485422740525,0.930612244897959
"85_140",85,140,42.1304510695745,0.692680185566024,43,228,265,479,1011,837,474,55,126.615763546798,5.4,0.7478864649308,0.77285751889595,0.788695877625097,0.792281073158816,0.755750696080531,0.957519559547957
"86_140",86,140,44.1959863135388,0.669711720640103,54,251,273,437,1010,873,501,44,167.456157635468,7.4,0.707323481116585,0.734412385643913,0.758711633194392,0.74128078817734,0.726554241127611,0.935632183908046
"87_140",87,140,43.7661101765569,0.672920618978537,71,231,274,468,1043,886,521,65,202.135057471264,9.6,0.721038990308767,0.730646987112504,0.782148676619545,0.724383866625246,0.72889237199582,0.925347222222222
"88_140",88,140,45.7126638323368,0.676259707422792,47,213,308,412,979,869,459,48,109.747959183673,4.6,0.759957035445757,0.756491739552964,0.799133615710435,0.767922275293096,0.778729128014842,0.922902494331066
"89_140",89,140,45.1220539409487,0.660196137903144,64,243,276,425,1004,883,508,67,106.698412698413,4.5,0.751304173354735,0.762244897959184,0.804506257631258,0.743748804742781,0.750532581453634,0.95344387755102
"9_140",9,140,44.3673584879596,0.691897047166072,36,233,303,472,1042,886,548,75,142.959770114943,6.2,0.765969228927203,0.787245800176835,0.799540793328826,0.764854594560643,0.727199790418181,0.953184865900383
"90_140",90,140,43.7799390266738,0.675956632653061,40,221,303,416,976,839,431,42,88.1397959183673,3.4,0.739650145772595,0.768264159596423,0.785,0.805561785153622,0.788941881100266,0.968524332810047
"91_140",91,140,46.1809516675042,0.697309185454286,28,177,349,426,979,877,453,45,173.441836734694,7.6,0.717750355956336,0.748795791608569,0.818057784911717,0.768,0.766283501352348,0.927482993197279
"92_140",92,140,46.2888005131633,0.679208620385091,23,219,313,390,944,863,531,42,201.777777777778,8.7,0.707695675971538,0.753145516496302,0.775233056185437,0.703919978372533,0.749382716049383,0.939905318852687
"93_140",93,140,44.2878452103302,0.715778145260782,12,150,320,436,916,785,394,50,70.7712418300654,2.1,0.785146738433936,0.804959630911188,0.829478800067035,0.762944807552651,0.787552258140493,0.948393246187364
"94_140",94,140,37.9330023502503,0.785010897562909,3,105,264,608,975,705,390,53,44.2877551020408,1.2,0.817918367346939,0.811447124304267,0.871045918367347,0.832171736619176,0.900659657802515,0.976901669758813
"95_140",95,140,44.2356570877178,0.724731623056746,19,162,331,503,1012,866,525,69,105.978325123153,4.2,0.724889162561576,0.753467980295566,0.790208102945612,0.804789272030651,0.796178019364702,0.944827586206897
"96_140",96,140,43.0737815002457,0.723140283140283,21,169,333,513,1035,855,506,68,103.822393822394,4.2,0.759877734877735,0.770215633423181,0.833011583011583,0.767526354605006,0.797712185870081,0.956287920573635
"97_140",97,140,45.7025814017806,0.691878651569205,29,205,335,439,1001,884,527,60,189.186507936508,8.7,0.709745394508168,0.74906994047619,0.831126687435099,0.759352850154737,0.747059884559885,0.929232804232804
"98_140",98,140,43.1963010813668,0.738946477681405,11,136,348,520,1011,847,479,64,85.1034482758621,3.5,0.761682865131141,0.821825766653353,0.799835796387521,0.757832512315271,0.766441646901417,0.951108374384236
"99_140",99,140,42.9374027281968,0.705510764143386,39,174,326,476,1008,842,444,50,85.1073891625616,3,0.771223850041584,0.7698247221904,0.82792801849804,0.784298809004178,0.74800958594062,0.951186744290193
